star.ID,food.treatment,air.treatment,mussel.ID,Date Eaten,time,Length(mm),Width(mm),Weight(g),status
VW_2023_ind11,Fed,30,1,Aug-11-23,10,20.7,12.6,0.317,2
VW_2023_ind11,Fed,30,2,Aug-11-23,10,20.3,11.2,0.331,2
VW_2023_ind11,Fed,30,3,Aug-11-23,10,16.7,19.6,0.174,2
VW_2023_ind11,Fed,30,4,Aug-13-23,12,16,9.7,0.171,2
VW_2023_ind11,Fed,30,5,Aug-14-23,13,21.4,11.1,0.397,2
VW_2023_ind11,Fed,30,6,Aug-16-23,15,21.2,11,0.385,2
VW_2023_ind11,Fed,30,7,Aug-17-23,16,18.3,9,0.193,2
VW_2023_ind12,Fed,30,1,Aug-12-23,11,13.4,7.5,0.114,2
VW_2023_ind12,Fed,30,2,Aug-16-23,15,17.1,9.6,0.158,2
VW_2023_ind12,Fed,30,3,Aug-17-23,16,15.5,8.7,0.144,2
VW_2023_ind16,Fed,25,1,Aug-7-23,6,12.6,8.8,0.087,2
VW_2023_ind16,Fed,25,2,Aug-10-23,9,12.8,6.7,0.096,2
VW_2023_ind16,Fed,25,3,Aug-10-23,9,12.5,11.8,0.074,2
VW_2023_ind16,Fed,25,4,Aug-11-23,10,16.4,9,0.172,2
VW_2023_ind16,Fed,25,5,Aug-13-23,12,14.2,7.4,0.105,2
VW_2023_ind16,Fed,25,6,Aug-15-23,14,11.5,6.6,0.071,2
VW_2023_ind16,Fed,25,7,Aug-15-23,14,10.9,6.2,0.058,2
VW_2023_ind16,Fed,25,8,Aug-16-23,15,11.9,6.8,0.063,2
VW_2023_ind16,Fed,25,9,Aug-17-23,16,13.7,8.3,0.134,2
VW_2023_ind17,Fed,25,1,Aug-11-23,10,15,8.6,0.139,2
VW_2023_ind17,Fed,25,2,Aug-12-23,11,15,7.9,0.139,2
VW_2023_ind17,Fed,25,3,Aug-14-23,13,15.1,8.7,0.159,2
VW_2023_ind17,Fed,25,4,Aug-14-23,13,12.8,7.4,0.088,2
VW_2023_ind17,Fed,25,5,Aug-14-23,13,11.6,6.7,0.061,2
VW_2023_ind17,Fed,25,6,Aug-15-23,14,18.8,10.2,0.285,2
VW_2023_ind17,Fed,25,7,Aug-15-23,14,14.9,8.9,0.116,2
VW_2023_ind22,Fed,25,1,Aug-6-23,5,15.7,8.1,0.114,2
VW_2023_ind22,Fed,25,2,Aug-7-23,6,13.5,7.3,0.088,2
VW_2023_ind22,Fed,25,3,Aug-9-23,8,15,8.4,0.121,2
VW_2023_ind22,Fed,25,4,Aug-9-23,8,9,5.5,0.036,2
