star.ID,trial.type,old.day,time,status,m.date,measure.time,mussel.ID,shell.length,shell.width,shell.size,empty.shell.weight,Notes
SB_2023_ind1,Adjustment,9,1,2,15-Jun-23,9:33,1,19.3,12.3,237.39,0,
SB_2023_ind10,Adjustment,9,1,2,15-Jun-23,9:33,1,30.2,15.6,471.12,1,
SB_2023_ind10,Adjustment,9,1,2,15-Jun-23,15:22,2,27.5,14.5,398.75,0.7,
SB_2023_ind13,Adjustment,9,1,2,15-Jun-23,9:33,1,20,10.5,210,0.4,
SB_2023_ind14,Adjustment,9,1,2,15-Jun-23,9:33,1,30,15.5,465,0.9,
SB_2023_ind18,Adjustment,9,1,2,15-Jun-23,15:22,1,22.3,13.3,296.59,0.54,
SB_2023_ind19,Adjustment,9,1,2,15-Jun-23,15:22,1,35.4,18.4,651.36,1.45,
SB_2023_ind2,Adjustment,9,1,2,15-Jun-23,9:33,1,18.7,11.1,207.57,0,
SB_2023_ind20,Adjustment,9,1,2,15-Jun-23,9:33,1,23.5,13.8,324.3,0.6,
SB_2023_ind21,Adjustment,9,1,2,15-Jun-23,9:33,1,23,11.5,264.5,0.4,
SB_2023_ind22,Adjustment,9,1,2,15-Jun-23,9:33,1,19.4,10.4,201.76,0,
SB_2023_ind25,Adjustment,9,1,2,15-Jun-23,9:33,1,21.4,13.5,288.9,0.6,
SB_2023_ind28,Adjustment,9,1,2,15-Jun-23,15:22,2,24.9,14.3,356.07,0.69,
SB_2023_ind28,Adjustment,9,1,2,15-Jun-23,9:33,1,24.7,12.5,308.75,0.5,
SB_2023_ind29,Adjustment,9,1,2,15-Jun-23,9:33,1,22.3,12.9,287.67,0.4,
SB_2023_ind31,Adjustment,9,1,2,15-Jun-23,9:33,1,19.2,10.4,199.68,0,
SB_2023_ind32,Adjustment,9,1,2,15-Jun-23,9:33,1,20.2,13.7,276.74,0.3,
SB_2023_ind34,Adjustment,9,1,2,15-Jun-23,9:33,1,18,9.3,167.4,0,
SB_2023_ind35,Adjustment,9,1,2,15-Jun-23,9:33,1,22.5,14.7,330.75,0.5,
SB_2023_ind38,Adjustment,9,1,2,15-Jun-23,9:33,1,25.6,14.3,366.08,0.4,
SB_2023_ind38,Adjustment,9,1,2,15-Jun-23,15:22,2,21.8,13.3,289.94,0.28,
SB_2023_ind39,Adjustment,9,1,2,15-Jun-23,9:33,1,24.4,13.2,322.08,0.4,
SB_2023_ind4,Adjustment,9,1,2,15-Jun-23,9:33,1,17.9,10.9,195.11,0,
SB_2023_ind42,Adjustment,9,1,2,15-Jun-23,9:33,1,23.6,13,306.8,0.5,
SB_2023_ind44,Adjustment,9,1,2,15-Jun-23,9:33,1,30,17.1,513,1.3,
SB_2023_ind45,Adjustment,9,1,2,15-Jun-23,15:22,1,21.9,12.4,271.56,0.5,
SB_2023_ind47,Adjustment,9,1,2,15-Jun-23,9:33,1,29.5,15.5,457.25,0.9,
SB_2023_ind49,Adjustment,9,1,2,15-Jun-23,9:33,1,22.3,13.7,305.51,0.4,
SB_2023_ind5,Adjustment,9,1,2,15-Jun-23,9:33,1,33.5,18.8,629.8,1.1,
SB_2023_ind51,Adjustment,9,1,2,15-Jun-23,9:33,1,22.3,12,267.6,0.5,
SB_2023_ind51,Adjustment,9,1,2,15-Jun-23,15:22,2,20.3,10.6,215.18,0.46,
