star.ID,ind.number,food.treatment,air.treatment,trial.type,Date,trial.day,High tide end time,Water temp,Water temp check time,Incubator start time,Start air temp,Air temp check time,End air temp,Incubator end time,mussels.consumed,cum.mussels,High tide start time,Water temp,Water temp check time,group,survived,Notes
VW_2023_ind10,10,Fed,30,Acclimation,02-Aug-23,1,9:14,19.4,9:17,10:01,26.1,9:43,28.9,3:30,0,0,4:20,21.4,4:15,Upper Left (FED),Y,
VW_2023_ind10,10,Fed,30,Acclimation,03-Aug-23,2,9:09,20,9:09,9:25,26.5,9:25,28.9,3:33,0,0,3:36,20.9,3:36,Lower right (FED),Y,
VW_2023_ind10,10,Fed,30,Acclimation,04-Aug-23,3,11:21,19.1,11:21,11:21,29.1,11:21,29.1,5:40,0,0,5:42,19.5,5:42,Upper Left (FED),Y,
VW_2023_ind10,10,Fed,30,Acclimation,05-Aug-23,4,12:50,19.2,12:50,1:05,21.4,1:05,28.9,7:02,0,0,7:05,19,7:02,Lower right (FED),Y,
VW_2023_ind10,10,Fed,30,Acclimation,06-Aug-23,5,11:35,19.6,11:20,11:40,29.2,11:40,29.6,5:04,0,0,5:50,19.1,5:04,Upper Left (FED),Y,
VW_2023_ind10,10,Fed,30,Acclimation,07-Aug-23,6,8:50,19.5,8:37,8:50,29.4,8:54,29,3:15,NA,NA,3:20,19.2,3:06,Lower right (FED),N,Death after water treatment
VW_2023_ind10,10,Fed,30,Acclimation,08-Aug-23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper Left (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,09-Aug-23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower right (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,10-Aug-23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper Left (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,11-Aug-23,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower right (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,12-Aug-23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper Left (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,13-Aug-23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower right (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,14-Aug-23,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper Left (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,15-Aug-23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower right (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,16-Aug-23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upper Left (FED),NA,NA
VW_2023_ind10,10,Fed,30,Acclimation,17-Aug-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower right (FED),NA,NA
VW_2023_ind11,11,Fed,30,Acclimation,02-Aug-23,1,9:14,19.4,9:17,10:01,26.1,9:43,28.9,3:30,0,0,4:20,21.4,4:15,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,03-Aug-23,2,9:09,20,9:09,9:25,26.5,9:25,28.9,3:33,0,0,3:36,20.9,3:36,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,04-Aug-23,3,11:21,19.1,11:21,11:21,29.1,11:21,29.1,5:40,0,0,5:42,19.5,5:42,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,05-Aug-23,4,12:50,19.2,12:50,1:05,21.4,1:05,28.9,7:02,0,0,7:05,19,7:02,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,06-Aug-23,5,11:35,19.6,11:20,11:40,29.2,12:40,29.6,5:04,0,0,5:50,19.1,5:04,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,07-Aug-23,6,8:50,19.5,8:37,8:50,29.4,8:54,29,3:15,0,0,3:20,19.2,3:06,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,08-Aug-23,7,9:00,19.3,8:45,9:06,24.3,9:06,29.3,3:42,0,0,3:48,19.6,3:30,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,09-Aug-23,8,,19.4,9:04,9:25,26.6,9:25,29.2,3:52,0,0,3:59,19.6,3:40,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,10-Aug-23,9,9:23,19.2,9:10,9:28,29.1,9:28,29.4,3:36,0,0,3:42,19.6,3:30,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,11-Aug-23,10,9:25,19.3,9:11,9:30,22,9:30,29.2,4:00,3,3,4:02,19.7,3:31,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,12-Aug-23,11,9:47,19.4,9:40,9:52,29.3,9:52,29.2,4:11,0,3,4:15,20.2,4:05,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,13-Aug-23,12,9:54,19.2,9:46,10:00,21.2,10:00,29.2,4:25,1,4,4:30,19.8,4:20,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,14-Aug-23,13,10:10,19.3,10:00,10:15,29.1,10:15,29.2,4:20,1,5,4:26,21.4,4:13,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,15-Aug-23,14,10:13,19.7,10:05,10:19,29.1,10:19,29,4:13,0,5,4:18,19.2,4:09,Lower right (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,16-Aug-23,15,10:20,19.9,10:06,10:24,28.9,10:24,28.9,4:13,1,6,4:16,20.8,4:08,Upper Left (FED),Y,
VW_2023_ind11,11,Fed,30,Acclimation,17-Aug-23,16,9:38,19.8,9:30,9:42,29.4,9:42,29.4,3:46,0,6,4:00,NA,NA,Lower right (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,02-Aug-23,1,9:14,19.3,9:17,10:01,26.1,9:43,28.9,3:30,0,0,4:20,21.3,4:16,Lower right (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,03-Aug-23,2,9:25,20,9:25,9:30,26.8,9:30,28.9,3:40,0,0,3:44,22.2,3:44,Upper Left (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,04-Aug-23,3,11:21,19.2,11:21,11:21,29.1,11:21,29.1,5:40,0,0,5:44,19.4,5:44,Lower right (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,05-Aug-23,4,12:50,19,12:50,1:05,21.4,1:05,28.9,7:02,0,0,7:05,19.8,7:02,Upper Left (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,06-Aug-23,5,11:35,19.3,11:20,11:40,29.2,19:40,29.6,5:04,0,0,5:50,19.7,5:04,Lower right (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,07-Aug-23,6,8:50,18.9,8:37,8:50,29.4,8:54,29,3:15,0,0,3:20,19.7,3:06,Upper Left (FED),Y,
VW_2023_ind12,12,Fed,30,Acclimation,08-Aug-23,7,9:00,19.4,8:45,9:06,24.3,9:06,29.3,3:42,0,0,3:48,19.2,3:30,Lower right (FED),Y,
