star-ID,date.collected,site,ind.number,group,star.arm.length,disc.diameter,star.wet.weight,food.treatment,air.treatment,,
VW_2023_ind5,01-Aug-23,Scott's Bay,5,G1,36.4,23.7,10.674,Fed,25,,
VW_2023_ind18,01-Aug-23,Scott's Bay,18,G1,34,21.4,11.699,Fed,25,,
VW_2023_ind22,01-Aug-23,Scott's Bay,22,G1,22.3,11.7,2.597,Fed,25,,
VW_2023_ind25,01-Aug-23,Scott's Bay,25,G1,26.4,14.5,4.433,Fed,25,,
VW_2023_ind27,01-Aug-23,Scott's Bay,27,G1,31,18.5,10.043,Fed,25,,
VW_2023_ind46,01-Aug-23,Scott's Bay,46,G1,25,13.7,3.68,Fed,25,,
VW_2023_ind50,01-Aug-23,Scott's Bay,50,G1,18.6,9.2,1.633,Fed,25,,
VW_2023_ind2,01-Aug-23,Scott's Bay,2,G1,36.1,22.5,12.268,Fed,30,,
VW_2023_ind4,01-Aug-23,Scott's Bay,4,G1,42.4,23.5,17.885,Fed,30,,
VW_2023_ind12,01-Aug-23,Scott's Bay,12,G1,28.7,25.6,6.03,Fed,30,,
VW_2023_ind39,01-Aug-23,Scott's Bay,39,G1,24.7,11.3,2.324,Fed,30,,
VW_2023_ind44,01-Aug-23,Scott's Bay,44,G1,24.6,13.7,3.871,Fed,30,,
VW_2023_ind48,01-Aug-23,Scott's Bay,48,G1,23.4,12,3.434,Fed,30,,
VW_2023_ind49,01-Aug-23,Scott's Bay,49,G1,16.4,10.5,1.566,Fed,30,,
VW_2023_ind13,01-Aug-23,Scott's Bay,13,G2,15.6,8.8,1.61,Starved,25,,
VW_2023_ind19,01-Aug-23,Scott's Bay,19,G2,25.5,17.2,5.904,Starved,25,,
VW_2023_ind31,01-Aug-23,Scott's Bay,31,G2,28.2,16.4,6.617,Starved,25,,
VW_2023_ind37,01-Aug-23,Scott's Bay,37,G2,23.8,15,3.327,Starved,25,,
VW_2023_ind40,01-Aug-23,Scott's Bay,40,G2,32.5,15.9,7.975,Starved,25,,
VW_2023_ind52,01-Aug-23,Scott's Bay,52,G2,17.6,10,1.408,Starved,25,,
VW_2023_ind56,01-Aug-23,Scott's Bay,56,G2,26.3,11.5,2.82,Starved,25,,
VW_2023_ind3,01-Aug-23,Scott's Bay,3,G2,22.8,13,4.054,Starved,30,,
VW_2023_ind8,01-Aug-23,Scott's Bay,8,G2,28.9,20.3,6.729,Starved,30,,
VW_2023_ind15,01-Aug-23,Scott's Bay,15,G2,37,21.2,12.82,Starved,30,,
VW_2023_ind23,01-Aug-23,Scott's Bay,23,G2,25,10.6,3.433,Starved,30,,
VW_2023_ind26,01-Aug-23,Scott's Bay,26,G2,25,13.5,4.354,Starved,30,,
VW_2023_ind29,01-Aug-23,Scott's Bay,29,G2,32,17.3,7.509,Starved,30,,
VW_2023_ind43,01-Aug-23,Scott's Bay,43,G2,26.4,15.8,5.095,Starved,30,,
VW_2023_ind16,01-Aug-23,Scott's Bay,16,G3,21.2,13.2,2.795,Fed,25,,
VW_2023_ind17,01-Aug-23,Scott's Bay,17,G3,23.7,11.7,3.422,Fed,25,,
VW_2023_ind32,01-Aug-23,Scott's Bay,32,G3,42.1,22.3,14.708,Fed,25,,
VW_2023_ind35,01-Aug-23,Scott's Bay,35,G3,26.6,16.1,5.076,Fed,25,,
VW_2023_ind41,01-Aug-23,Scott's Bay,41,G3,20.6,11,2.837,Fed,25,,
VW_2023_ind47,01-Aug-23,Scott's Bay,47,G3,29.2,17,6.193,Fed,25,,
VW_2023_ind53,01-Aug-23,Scott's Bay,53,G3,26.5,10.9,3.214,Fed,25,,
